CARBURANT,CRITAIR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Diesel,Crit'Air 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028349353159428547,0.08160983203870109,0.13487031091797375,0.1881307897972464,0.24139126867651894,0.2946517475557916,0.34791222643506425,0.4011727053143368,0.45443318419360956,0.5076936630728821,0.5609541419521547,0.6142146208314274,0.6674750997107,0.7207355785899725,0.7739960574692453
Diesel,Crit'Air 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028139251336751714,0.06379043623493963,0.09944162113312754,0.1350928060313154,0.17074399092950338,0.20639517582769124,0.2420463607258791,0.27769754562406707,0.3133487305222549,0.3489999154204429,0.38465110031863076,0.4203022852168186,0.4559534701150066,0.49160465501319445,0.5272558399113823
Diesel,Crit'Air 4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01939628556744466,0.051375915063906596,0.08335554456036848,0.11533517405683036,0.14731480355329224,0.17929443304975412,0.21127406254621606,0.24325369204267788,0.2752333215391398,0.30721295103560164,0.3391925805320636,0.3711722100285254,0.40315183952498734,0.4351314690214493,0.4671110985179111
Diesel,Crit'Air 5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09190064891577895,0.09678483503343166,0.10166902115108437,0.10655320726873709,0.11143739338638979,0.11632157950404251,0.12120576562169522,0.12608995173934792,0.13097413785700063,0.13585832397465336,0.14074251009230607,0.14562669620995877,0.1505108823276115,0.15539506844526418,0.16027925456291692,0.16516344068056962
Essence,Crit'Air 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18657497446289617,0.21484121621049318,0.2431074579580902,0.2713736997056872,0.2996399414532842,0.3279061832008812,0.35617242494847823,0.38443866669607524,0.4127049084436722,0.44097115019126926,0.4692373919388662,0.4975036336864633,0.5257698754340603,0.5540361171816574,0.5823023589292543,0.6105686006768514
Essence,Crit'Air 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004635133744199882,0.019648245109897378,0.03466135647559487,0.04967446784129234,0.06468757920698984,0.07970069057268733,0.0947138019383848,0.1097269133040823,0.12474002466977979,0.1397531360354773,0.15476624740117478,0.16977935876687228,0.18479247013256977,0.19980558149826727,0.21481869286396477
Essence,Crit'Air 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026128783516144546,0.03435414054507471,0.04257949757400489,0.05080485460293507,0.05903021163186524,0.06725556866079542,0.0754809256897256,0.08370628271865578,0.09193163974758596,0.10015699677651614,0.10838235380544632,0.11660771083437647,0.12483306786330665,0.13305842489223685,0.14128378192116703,0.1495091389500972
Hybride rechargeable,Crit'Air 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06570207702320685,0.15120954205890336,0.23671700709459997,0.3222244721302966,0.4077319371659932,0.4932394022016898,0.5787468672373864,0.6642543322730831,0.7497617973087797,0.8352692623444763,0.9207767273801727,1.0,1.0,1.0,1.0
Electrique et hydrogène,Crit'Air E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11263088673128414,0.12080496218570716,0.1289790376401302,0.1371531130945532,0.14532718854897622,0.15350126400339925,0.16167533945782225,0.1698494149122453,0.1780234903666683,0.18619756582109132,0.19437164127551437,0.20254571672993738,0.21071979218436038,0.21889386763878343,0.22706794309320644,0.23524201854762944
