Norme,Mise en service des véhicules
Euro 1,1er janvier 1993
Euro 2 (voitures),1er janvier 1997
Euro 2 (Véhicules utilitaires légers),1er octobre 1997
Euro 3,1er janvier 2001
Euro 4,1er janvier 2006
Euro 5a,1er janvier 2011
Euro 5b,1er janvier 2013
Euro 6b,1er septembre 2015
Euro 6c,1er septembre 2018
Euro 6d-TEMP[8],1er septembre 2019
Euro 6d[9],1er janvier 2021
